has_sleep_data;efficiency;com.samsung.health.sleep.start_time;com.samsung.health.sleep.end_time
0;90.0;2020-05-16 02:58:00.000;2020-05-16 04:43:00.000
0;86.0;2020-05-12 03:04:00.000;2020-05-12 05:29:00.000
0;84.0;2020-05-16 04:58:00.000;2020-05-16 07:50:00.000
0;79.0;2020-05-17 21:38:00.000;2020-05-18 01:09:00.000
0;86.0;2020-05-22 02:47:00.000;2020-05-22 06:36:00.000
0;94.0;2020-05-14 23:20:00.000;2020-05-15 01:09:00.000
1;82.0;2020-05-18 02:00:00.000;2020-05-18 02:23:00.000
0;90.0;2020-05-15 02:51:00.000;2020-05-15 04:44:00.000
0;72.0;2020-05-20 04:53:00.000;2020-05-20 06:54:00.000
0;85.0;2020-05-18 02:49:00.000;2020-05-18 05:14:00.000
0;88.0;2020-05-16 22:45:00.000;2020-05-17 01:09:00.000
0;86.0;2020-05-20 21:29:00.000;2020-05-20 23:59:00.000
0;82.0;2020-05-17 02:54:00.000;2020-05-17 04:59:00.000
0;85.0;2020-05-25 21:16:00.000;2020-05-25 23:59:00.000
0;88.0;2020-05-21 00:22:00.000;2020-05-21 01:05:00.000
0;85.0;2020-05-23 21:29:00.000;2020-05-24 03:39:00.000
0;88.0;2020-05-18 14:15:00.000;2020-05-18 15:43:00.000
0;91.0;2020-05-27 22:49:00.000;2020-05-28 01:59:00.000
0;84.0;2020-05-24 21:13:00.000;2020-05-24 22:57:00.000
0;87.0;2020-05-26 00:20:00.000;2020-05-26 02:02:00.000
1;84.0;2020-05-30 23:53:00.000;2020-05-31 01:03:00.000
0;82.0;2020-05-28 03:56:00.000;2020-05-28 06:56:00.000
0;88.0;2020-05-19 21:44:00.000;2020-05-20 01:04:00.000
0;81.0;2020-05-21 03:20:00.000;2020-05-21 07:21:00.000
0;88.0;2020-05-26 02:10:00.000;2020-05-26 02:44:00.000
0;85.0;2020-05-24 23:37:00.000;2020-05-25 02:17:00.000
0;94.0;2020-05-21 22:24:00.000;2020-05-22 00:40:00.000
1;86.0;2020-05-31 01:13:00.000;2020-05-31 06:05:00.000
1;88.0;2020-05-25 02:27:00.000;2020-05-25 02:45:00.000
